Key,Issue Type,Parent,Summary,Parent Issue,Status,Assignee,Sprint,Start date,Inferred start date,Due date,Inferred due date,Issue color
SNEST-1,Epic,,Epic 1: Search and Filtering System,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,purple
SNEST-10,Story,SNEST-1,"User Story 1.1: As a shopper, I have to be able to search for shoes by keyword in order to quickly find products that match my interests.",Epic 1: Search and Filtering System,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-11,Story,SNEST-1,"User Story 1.2: As a shopper, I have to be able to filter products by category in order to browse shoes in a specific category like MEN or WOMEN.",Epic 1: Search and Filtering System,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-12,Story,SNEST-1,"User Story 1.3: As a shopper, I have to be able to sort products by price in order to find affordable or premium shoes.",Epic 1: Search and Filtering System,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-13,Story,SNEST-1,"User Story 1.4: As a shopper, I have to be able to apply advanced filters like brand and price range in order to narrow down my search more precisely.",Epic 1: Search and Filtering System,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-14,Story,SNEST-1,"User Story 1.5: As a shopper, I have to be able to paginate search results in order to navigate large product lists easily.",Epic 1: Search and Filtering System,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-15,Story,SNEST-1,"User Story 1.6: As a shopper, I want to clear my search query and applied filters so that I can start a new search easily.",Epic 1: Search and Filtering System,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-16,Story,SNEST-1,"User Story 1.7: As a shopper, I want to see feedback about my search query so that I know what I’m searching for and can adjust if needed.",Epic 1: Search and Filtering System,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-17,Story,SNEST-1,"User Story 1.8: As a shopper, I want my search results to be cached locally so that navigating back to the search page is faster.",Epic 1: Search and Filtering System,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-18,Story,SNEST-1,"User Story 1.9: As a shopper, I want to see a friendly error message if the search fails so that I’m not confused by a blank page.",Epic 1: Search and Filtering System,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-19,Story,SNEST-1,"User Story 1.10: As a shopper, I want to see suggested keywords while typing my search query so that I can find products more easily.",Epic 1: Search and Filtering System,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/21/2025,5/22/2025,purple
SNEST-3,Epic,,Epic 2: Product Listing and Details,,Done,Lotfullah,,5/19/2025,5/19/2025,5/26/2025,5/26/2025,blue
SNEST-20,Story,SNEST-3,"User Story 2.1: As a shopper, I have to be able to view products grouped by category in order to explore shoes in MEN, WOMEN, SOCKS, or SALE sections.",Epic 2: Product Listing and Details,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-21,Story,SNEST-3,"User Story 2.2: As a shopper, I have to be able to see a highlighted product in order to find it easily after coming from search.",Epic 2: Product Listing and Details,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-22,Story,SNEST-3,"User Story 2.3: As a shopper, I have to be able to view product details in order to decide if I want to buy it.",Epic 2: Product Listing and Details,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-23,Story,SNEST-3,"User Story 2.4: As a shopper, I have to be able to see if a product is out of stock in order to know if I can buy it.",Epic 2: Product Listing and Details,Done,Muhammad Hamza,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
SNEST-24,Story,SNEST-3,"User Story 2.5: As a shopper, I have to be able to add a product to my cart from the details page in order to buy it later.",Epic 2: Product Listing and Details,Done,Lotfullah,SNEST Sprint 1,,5/19/2025,5/22/2025,5/22/2025,purple
